n_components,n_neighbors,min_dist,min_cluster_size,min_samples,top_n_words,coherence_score,cohenrece_score_umass,n_topics
21,15,0.05,10,5,5,0.49407013950331086,-9.581099361921561,14
3,20,0.01,5,5,5,0.4932744823185785,-10.635978209782644,19
19,10,0.01,5,5,5,0.4926666409878901,-9.315570354232051,17
5,5,0.05,5,5,5,0.4921668775484501,-9.250592189020916,11
17,10,0.01,10,5,5,0.49199925634714725,-9.37690726521817,16
13,10,0.01,5,5,5,0.4917019760876768,-8.895964232935736,18
10,5,0.0,10,5,5,0.4916522470645423,-10.024577162931145,17
3,5,0.05,5,5,5,0.4915113844481369,-11.11241125946032,15
20,20,0.0,5,5,5,0.4912788965971291,-9.36651903289664,16
3,20,0.0,5,5,5,0.49122591051187814,-10.673505211334396,19
21,20,0.05,5,5,5,0.49116517719048186,-9.000391462787062,14
19,10,0.01,10,5,5,0.4905693465761958,-9.644287332513578,19
12,20,0.0,5,5,5,0.4901636545508463,-9.743982083888833,19
10,20,0.0,10,5,5,0.4901333095755122,-8.833366686588212,13
17,15,0.01,10,5,5,0.4890817729428471,-12.81480807853985,3
21,5,0.01,5,5,5,0.4883007454472386,-9.482992143725822,20
11,10,0.0,10,5,5,0.4875821430745222,-9.49878740619281,17
5,20,0.05,5,5,5,0.48755779426760876,-10.22647775423485,23
13,15,0.01,10,5,5,0.48745897004836586,-9.7429881732716,9
3,10,0.0,5,5,5,0.48721961519449525,-11.04112700361619,30
17,20,0.01,5,5,5,0.48699305727011677,-9.590267195636645,22
5,15,0.01,10,5,5,0.48676354375243575,-9.503381181751871,18
10,10,0.01,10,5,5,0.4866088885551352,-9.527207900906618,17
11,10,0.05,5,5,5,0.4864480358728144,-10.368616722862825,21
3,10,0.05,5,5,5,0.4861303135459472,-9.772940082268654,24
10,20,0.0,5,5,5,0.4857188730499056,-10.576949249348084,23
11,10,0.01,10,5,5,0.48512603348286515,-9.603779475850335,16
21,10,0.0,5,5,5,0.48483833992526026,-9.533871494360444,19
12,10,0.01,5,5,5,0.4847130786041844,-9.27397232234805,16
11,15,0.05,5,5,5,0.4823930815303661,-9.348108883809303,9
3,10,0.0,10,5,5,0.48165394348189033,-9.269303543661914,13
21,20,0.0,5,5,5,0.4816191546819842,-8.768935629465906,18
3,15,0.01,10,5,5,0.48069216785019103,-9.224754479756662,14
12,10,0.01,10,5,5,0.4804969155743787,-9.70927444390747,16
7,20,0.0,5,5,5,0.47993674800740305,-10.671398779810653,25
12,20,0.01,10,5,5,0.4784480777761548,-9.285441803634212,15
13,15,0.01,5,5,5,0.47798766172748974,-10.38290860000201,18
21,10,0.01,5,5,5,0.4778847403783463,-9.569679327172278,18
20,10,0.01,5,5,5,0.4776505006533134,-9.91505923899794,22
15,20,0.01,5,5,5,0.4773011116445141,-10.467745665782207,21
21,15,0.01,10,5,5,0.4771455083549511,-10.130938483515525,13
21,15,0.01,5,5,5,0.4770806062922428,-9.830803814277976,16
7,10,0.0,10,5,10,0.4766361848363514,-13.171780540646964,4
20,10,0.0,5,5,5,0.476618424023295,-10.42569455086049,22
21,5,0.05,5,5,5,0.4764354432280265,-10.456462311022364,21
20,20,0.01,5,5,5,0.4753320540501557,-10.774550383912306,22
5,15,0.05,10,5,5,0.4753110984594697,-9.915971102704951,17
9,15,0.0,5,5,5,0.4751796440056148,-11.31669605976091,23
13,15,0.0,5,5,5,0.47515611180205125,-10.524443108426789,25
11,20,0.0,10,5,5,0.47512011521026926,-10.119689391199888,14
8,10,0.0,10,5,5,0.4751143076632358,-10.353664275098216,16
13,10,0.01,10,5,5,0.4748821287306242,-9.847148734313528,14
15,15,0.0,5,5,5,0.47457205394120155,-11.454447954663829,20
17,15,0.05,10,5,5,0.472789829570666,-10.579104921104648,12
10,5,0.01,10,5,5,0.4712264604760021,-7.792276747351239,4
7,15,0.01,5,5,5,0.4706540111586253,-10.423633751075348,20
15,20,0.05,5,5,5,0.4700341363422926,-10.00121126822814,19
13,10,0.0,5,5,5,0.46965909042345544,-9.448942573615305,18
20,5,0.0,5,5,5,0.4694109808258727,-9.42667285762314,10
15,20,0.01,10,5,5,0.46937647823958506,-10.45122349812971,12
15,5,0.05,5,5,5,0.4692344738834312,-10.772676114501941,19
7,20,0.01,5,5,5,0.4690676997688026,-11.124474670073003,27
17,5,0.01,5,5,5,0.46620424172881536,-10.967680463816361,11
20,20,0.0,10,5,5,0.4660077738401987,-10.374880708779369,14
21,15,0.05,5,5,5,0.4654129397109793,-9.954918173508338,15
9,5,0.05,10,5,5,0.4651669400146106,-10.65514321293422,12
17,20,0.0,10,5,5,0.4651187960455663,-9.595219618831894,13
11,15,0.01,10,5,5,0.46481339020250456,-8.206681812362309,5
12,15,0.0,10,5,5,0.4648133902025045,-8.206681812362309,5
10,15,0.0,5,5,5,0.464128762815518,-10.863621370488085,26
9,15,0.01,5,5,5,0.4638328223995352,-11.554519035347457,23
8,15,0.0,10,5,5,0.4637729106233316,-9.411900420540194,12
21,5,0.0,5,5,5,0.46327712332778714,-10.478254311142551,32
13,20,0.05,10,5,5,0.46307994845386524,-10.6390956863031,10
5,20,0.05,10,5,5,0.46300197937956983,-9.882033981327238,15
17,5,0.05,5,5,5,0.4628593434736843,-11.263166804531066,12
13,5,0.0,5,5,5,0.4628455278170468,-9.601457084638557,14
8,15,0.01,10,5,5,0.4627741889029935,-8.655681953108468,4
