n_components,n_neighbors,min_dist,min_cluster_size,min_samples,top_n_words,coherence_score,cohenrece_score_umass,n_topics
17,5,0.01,5,5,10,0.4359274627621351,-16.852437007492544,8
11,20,0.0,5,5,5,0.4356084085431464,-11.138452485990689,7
5,10,0.01,10,5,10,0.43549665310872115,-16.62792994562572,7
15,20,0.0,5,5,5,0.43541124334909226,-10.377444073926632,7
7,5,0.01,10,5,10,0.4352116615809828,-16.646125152701842,8
5,20,0.0,10,5,10,0.435200678142579,-15.367134071707037,6
10,5,0.0,5,5,5,0.435052090157123,-12.232060845631548,10
11,20,0.05,5,5,5,0.4347966858703825,-10.356438831289987,7
9,15,0.01,5,5,10,0.4347065157160033,-16.89249921252709,6
5,15,0.01,10,5,5,0.43446280975289875,-13.04068334043119,6
17,20,0.05,5,5,5,0.43419393756148944,-11.743993746458592,7
13,20,0.05,5,5,10,0.43395755719433343,-16.136655771771835,8
19,10,0.05,5,5,10,0.4339268192073965,-15.488127183860843,8
19,10,0.05,10,5,10,0.4339268192073965,-15.488127183860843,8
17,10,0.01,5,5,10,0.4338143438124746,-15.762985681656014,7
20,10,0.01,10,5,10,0.433739414210783,-17.016109911958193,6
11,5,0.0,5,5,5,0.4336636808175918,-16.11318628203172,10
10,15,0.0,5,5,5,0.4332893629329585,-11.645214608169306,8
13,10,0.01,10,5,10,0.4330171809856851,-16.670013810807426,6
7,5,0.01,5,5,5,0.4328413474784026,-12.84406376656139,10
13,10,0.01,5,5,10,0.4326065327224886,-15.598740030396035,7
21,20,0.0,10,5,10,0.43254318654236856,-16.449634782864493,6
19,10,0.01,5,5,10,0.4321898649601812,-15.781543465917997,9
17,5,0.0,5,5,10,0.43215431693008205,-16.720758006836416,11
9,10,0.0,5,5,5,0.43191341506007025,-13.350366774452944,10
17,20,0.0,5,5,10,0.4318215709563205,-15.802215148941741,7
7,15,0.01,10,5,10,0.4316389260574603,-15.83373509244463,6
19,20,0.05,5,5,5,0.4315965436994182,-11.56090347701494,9
17,15,0.01,10,5,5,0.43157408813395703,-10.294378217475044,6
19,15,0.01,5,5,5,0.43153442694569255,-11.360861913122047,9
21,20,0.05,10,5,10,0.43151039580026235,-17.195757636044906,5
13,10,0.01,10,5,5,0.43137878973600496,-13.507691627323851,6
11,20,0.0,10,5,5,0.4310212989064074,-11.252249784067589,6
13,10,0.0,10,5,10,0.43093048286328506,-16.996333098180084,6
3,20,0.01,10,5,10,0.4307118286933044,-14.389382890641922,6
5,15,0.0,10,5,10,0.4300870666903682,-15.638107209251839,6
7,10,0.0,10,5,10,0.4299745128495619,-16.578796461349167,6
11,20,0.01,5,5,10,0.42986846268705997,-15.258133130955983,7
7,5,0.05,5,5,10,0.42973448637363476,-16.793735352245182,10
10,15,0.01,5,5,5,0.4296784756746919,-12.138479697749592,7
19,5,0.0,5,5,10,0.42965049109073133,-17.09516275577753,9
12,15,0.0,10,5,10,0.4295685253862867,-14.980412076561992,6
9,20,0.0,10,5,10,0.42931987270161487,-15.328553589394994,6
13,5,0.0,5,5,5,0.4292659581196492,-13.819833408177573,9
21,20,0.05,5,5,10,0.42926586047282883,-16.03171272328505,7
9,5,0.01,10,5,10,0.4292490154142094,-15.765105221661043,8
5,10,0.0,10,5,10,0.4291334353082363,-14.948856826829175,8
19,5,0.0,5,5,5,0.42866106991695696,-14.446255881000297,9
9,5,0.01,5,5,10,0.42843233224285515,-16.183617473249004,10
17,10,0.0,5,5,10,0.42820850921370673,-15.615479428453105,7
20,15,0.01,10,5,5,0.4281270072348223,-12.783033014101129,7
12,20,0.01,5,5,5,0.4280747337808605,-11.488317984386429,7
21,15,0.0,10,5,5,0.4280252572836229,-11.216667617035919,6
9,10,0.05,10,5,10,0.42774253356726877,-15.457336315575693,8
10,20,0.0,10,5,10,0.4277354171815197,-16.35059453755986,7
20,20,0.0,10,5,5,0.4276730581072472,-11.220314048171796,6
11,10,0.0,5,5,10,0.42758296345269353,-15.595995563293444,7
13,5,0.0,5,5,10,0.4274591889515461,-16.738511322442605,9
8,15,0.01,5,5,10,0.4273143974899871,-15.418598974436184,7
20,20,0.01,5,5,10,0.4271511891647256,-15.596501493396715,7
20,10,0.0,10,5,10,0.427106318393265,-16.014077168720725,6
10,10,0.0,10,5,10,0.4270129079124233,-16.47626908920193,6
9,15,0.01,10,5,10,0.4267543614429482,-16.70014578506377,5
5,5,0.01,5,5,5,0.42659007197344595,-15.353432497479114,10
5,15,0.01,10,5,10,0.42646821967972476,-15.023169609865397,6
3,10,0.01,5,5,10,0.42644718951476823,-15.499942634153035,9
17,5,0.05,10,5,10,0.4262079092588664,-14.990899759521186,5
12,20,0.01,10,5,5,0.4259514765957902,-12.96095748644612,5
20,20,0.01,10,5,5,0.4258759067776306,-13.032801017129554,6
7,15,0.0,5,5,10,0.4256610824942785,-16.207635283813588,5
13,5,0.01,5,5,10,0.4256411238226679,-16.59585948251687,9
19,5,0.0,10,5,5,0.4252286418333836,-14.186242462509156,8
3,15,0.0,10,5,10,0.42509414955242575,-15.616221851430907,6
8,5,0.01,5,5,10,0.4250292934763723,-17.129785121053903,12
13,10,0.05,10,5,10,0.42498859772173925,-15.189604530592458,6
15,15,0.01,10,5,10,0.42477678625956683,-16.14342940149684,6
15,15,0.01,5,5,10,0.42477678625956683,-16.14342940149684,6
20,20,0.0,10,5,10,0.4247258609739256,-15.803852603354148,6
15,20,0.05,5,5,5,0.4247064714360431,-11.799967399861902,10
13,5,0.0,10,5,10,0.42460273907020724,-15.059882635188421,5
19,5,0.0,10,5,10,0.4245401687421367,-16.546725015882778,8
15,20,0.01,10,5,10,0.4243830092959574,-15.352586584910547,5
3,15,0.01,10,5,5,0.4243448129967048,-10.758322818808397,6
12,15,0.0,5,5,10,0.424109221161475,-15.685696968613556,8
3,10,0.01,10,5,10,0.4239680021763652,-15.567426984792567,6
11,20,0.05,10,5,5,0.4238435135648538,-12.12673165440101,6
9,15,0.05,5,5,10,0.4238184216638558,-15.494128905179418,6
9,15,0.05,10,5,10,0.4238184216638558,-15.494128905179418,6
7,10,0.01,5,5,10,0.42339572702178624,-16.160965260391187,6
7,10,0.01,10,5,10,0.42339572702178624,-16.160965260391187,6
15,20,0.01,5,5,10,0.4231619890605394,-15.56024589672444,7
3,15,0.01,10,5,10,0.42296586964873456,-15.252703687974968,6
20,10,0.01,5,5,10,0.4228770204283537,-15.59851011164868,7
15,5,0.05,5,5,10,0.4227147430909522,-15.67173347825531,9
11,5,0.05,10,5,10,0.42261248565011056,-16.52759988931924,7
19,20,0.0,10,5,10,0.4224456211888125,-16.141031142757043,5
13,15,0.05,5,5,10,0.4221913790788775,-15.128071562305987,9
15,10,0.05,10,5,10,0.42215425369102394,-15.105632073748277,7
11,5,0.01,5,5,10,0.4221378275249046,-17.010724655443433,10
21,15,0.01,10,5,10,0.4220576293801594,-15.616927355990944,6
5,10,0.0,5,5,10,0.42198402054847606,-15.289275616234724,10
10,10,0.01,10,5,10,0.4219834476167214,-16.618079833678404,6
3,15,0.05,5,5,10,0.4213267896822785,-16.228972146164484,7
3,15,0.05,10,5,10,0.4213267896822785,-16.228972146164484,7
20,15,0.01,5,5,10,0.4211410917654254,-14.581796172989362,6
5,5,0.05,5,5,10,0.42067569504660673,-16.502409328950556,11
20,15,0.0,5,5,10,0.4205036859218788,-15.047607689269578,9
10,5,0.01,10,5,10,0.4204970357399996,-16.849414951357456,5
9,10,0.05,5,5,10,0.4204446903098257,-15.389384104784188,9
9,5,0.0,10,5,10,0.4202741676813199,-17.07680741018163,7
12,5,0.0,5,5,10,0.420106244256586,-16.059251614006875,10
