n_components,n_neighbors,min_dist,min_cluster_size,min_samples,top_n_words,coherence_score,cohenrece_score_umass,n_topics
17,30,0.0,5,5,5,0.44318421320826384,-10.400289280296327,18
14,30,0.0,5,5,5,0.44260905857261595,-10.80531378122903,17
14,15,0.025,5,5,5,0.442187521375302,-10.594030825914297,18
7,30,0.0,5,5,5,0.4420428149423555,-11.528841081258005,19
17,10,0.01,5,5,5,0.44176167885792217,-11.26905821711826,24
16,20,0.0,5,5,5,0.44174670323095,-11.175682269206098,22
10,30,0.01,5,5,5,0.44167877875682315,-11.077947105089226,22
8,15,0.05,5,5,5,0.44161874464447093,-9.705922614653376,14
12,10,0.025,5,5,5,0.44140968814903053,-11.026019260124011,21
18,30,0.01,5,5,5,0.44121826876402453,-10.183296669108936,18
16,15,0.0,5,5,5,0.44089231848204674,-10.823397789613317,23
20,10,0.025,5,5,5,0.4404701521864604,-10.56995465002929,18
4,25,0.05,5,5,5,0.4401511369803269,-9.71691175294945,19
7,20,0.025,5,5,5,0.4392192186064209,-11.33701688430905,27
7,10,0.0,5,5,5,0.4391284864533131,-10.662220972062924,21
17,15,0.025,5,5,5,0.43911786937494957,-11.125573270461791,20
10,10,0.025,5,5,5,0.4388309390019846,-11.297755414972087,22
4,20,0.01,5,5,5,0.43861498350305905,-11.059511145640412,22
10,25,0.025,5,5,5,0.43843105409867644,-10.200639460021494,19
12,5,0.0,5,5,5,0.43817890741337423,-11.217508255789335,23
15,10,0.05,5,5,5,0.438176878975539,-11.195702259028856,23
12,15,0.025,5,5,5,0.4379961854775864,-10.895236649013194,20
7,30,0.025,5,5,5,0.43768911635967367,-11.385868958064266,19
2,30,0.025,5,5,5,0.43726092986661014,-11.282757049603708,20
13,30,0.025,5,5,5,0.4371098133985526,-11.069876877792016,16
13,20,0.05,5,5,5,0.4369622124506635,-10.970895779557047,17
7,30,0.01,5,5,5,0.4367531591325425,-10.967778257568991,22
20,30,0.01,5,5,5,0.43545981486121355,-10.79485336824574,17
14,10,0.025,5,5,5,0.43544804804377457,-12.021803663745418,16
14,25,0.01,5,5,5,0.43515464880513893,-11.46264013118721,21
16,30,0.025,5,5,5,0.43489933628901034,-10.42927229829764,13
3,15,0.01,5,5,5,0.4344069073889966,-12.0870200168642,27
15,25,0.0,5,5,5,0.4343883704949249,-11.241296771606265,18
16,25,0.0,5,5,5,0.43420913475059975,-10.702691133866367,17
16,10,0.01,5,5,5,0.434011220462716,-11.502868163448005,24
12,10,0.01,5,5,5,0.43400620160397657,-10.723289414601547,15
17,15,0.0,5,5,5,0.4338987849625632,-10.940784828879789,21
8,25,0.01,5,5,5,0.4337384966382258,-10.819580249431944,20
17,25,0.01,5,5,5,0.43340324840760974,-11.345246992561783,20
16,5,0.025,5,5,5,0.43257859264919984,-10.701760818679592,9
18,5,0.05,5,5,5,0.4322655000710274,-11.431950621086822,20
18,10,0.0,5,5,5,0.43224870343066263,-11.35159974308926,25
3,25,0.0,5,5,5,0.43183972386700364,-10.962276781085748,20
14,30,0.05,5,5,5,0.4316306951059099,-10.966424389785228,18
16,30,0.05,5,5,5,0.4315457000295286,-11.29926302746252,15
20,15,0.0,5,5,5,0.430946090804521,-12.33327629975329,21
7,15,0.0,5,5,5,0.43053100264488764,-11.507307310306023,22
8,20,0.05,5,5,5,0.43033249131741386,,17
2,20,0.0,5,5,5,0.429429495721219,-12.088458451940213,24
9,30,0.0,5,5,5,0.4292301087125118,-11.197004871018624,18
20,15,0.025,5,5,5,0.4292197302694265,-11.196473874890895,17
13,15,0.05,5,5,5,0.42896792677403606,-11.102372563884956,23
18,25,0.05,5,5,5,0.4284685983430415,-10.951084774956543,16
11,15,0.01,5,5,5,0.42824480925499875,-11.371178157427329,24
5,10,0.01,5,5,5,0.4277923279311639,-10.032930722387167,16
17,20,0.025,5,5,5,0.42774656041499853,-11.656294324503726,20
12,30,0.025,5,5,5,0.42767228286182685,-11.849938879997733,20
3,5,0.0,5,5,5,0.42742338403713503,-11.756928796107573,36
19,10,0.025,5,5,5,0.4273700886852561,-11.702118185958968,24
2,25,0.01,5,5,5,0.42702340246083303,-12.23977938605031,19
12,10,0.05,5,5,5,0.42701731651607344,-11.428243080685844,23
18,30,0.025,5,5,5,0.4269157928903812,-10.909981934626495,18
9,30,0.01,5,5,5,0.4268138131816911,-11.113336727845557,19
18,20,0.05,5,5,5,0.42577699868090774,-10.625513166948965,16
19,30,0.05,5,5,5,0.42563847268904836,-10.602912754473282,18
19,25,0.025,5,5,5,0.4255101647955091,-10.993575385048528,16
10,15,0.05,5,5,5,0.42546495897506975,-11.146067505666243,16
20,30,0.0,5,5,5,0.4252043719818491,-11.102998015254066,17
8,5,0.05,5,5,5,0.42515470617415535,-10.957528369615982,27
11,20,0.05,5,5,5,0.4251023692817859,-11.407607582890028,20
10,20,0.0,5,5,5,0.42506778967312264,-11.203025077611736,19
