n_components,n_neighbors,min_dist,min_cluster_size,min_samples,top_n_words,coherence_score,cohenrece_score_umass,n_topics
9,15,0.05,5,5,5,0.47921344499038365,-10.895889302132536,8
18,10,0.01,5,5,5,0.4785541275273072,-12.05140909484812,6
10,25,0.05,5,5,5,0.47827160746028596,-11.52743240551715,6
7,10,0.025,5,5,5,0.4782109222661816,-12.095197541330995,7
18,10,0.025,5,5,5,0.4771909853942827,-10.38088964069168,8
7,20,0.025,5,5,5,0.4771260456514982,-13.679898884495074,8
11,15,0.01,5,5,5,0.4769487549355304,-11.200873360701808,6
9,15,0.01,5,5,5,0.4767342610517048,-11.551894478434699,8
9,10,0.0,5,5,5,0.4764052574115994,-12.190409020401756,8
9,20,0.01,5,5,5,0.47630175651486506,-11.551997803343554,9
15,25,0.01,5,5,5,0.47620552580368447,-11.546295956024627,8
11,20,0.0,5,5,5,0.47531292596241453,-11.273876373599544,8
11,25,0.0,5,5,5,0.4752627097751009,-12.499695332186475,8
17,25,0.0,5,5,5,0.4750032811521576,-11.341615455157928,7
15,25,0.0,5,5,5,0.4733897080320964,-11.554810005053417,8
11,25,0.025,5,5,5,0.47335380580189096,-12.02949088603722,8
19,10,0.0,5,5,5,0.4730599075022049,-11.9737531626365,8
20,15,0.025,5,5,10,0.47298039936087855,-14.399248123730997,10
7,15,0.0,5,5,5,0.4727843803907716,-11.268409180552768,7
4,10,0.05,5,5,5,0.47274668000873427,-11.438845436315713,10
18,15,0.0,5,5,5,0.47242473762271614,-11.731969387739271,7
12,25,0.0,5,5,5,0.4723559235369041,-11.541305961446923,8
18,10,0.0,5,5,5,0.4723295953357999,-11.576269553281083,8
7,15,0.025,5,5,5,0.47187281860518265,-12.001602701847146,7
2,10,0.025,5,5,5,0.4712460243068659,-12.66449424119133,9
9,25,0.01,5,5,5,0.4712124521294411,-11.829833735901312,8
6,10,0.01,5,5,5,0.47055230844668605,-11.549688195625686,5
13,25,0.025,5,5,10,0.47049178477719916,-17.27051506273835,4
11,15,0.025,5,5,5,0.4696468350469467,-9.926126101262165,7
4,25,0.025,5,5,10,0.4692073964811778,-17.892142602030717,5
5,15,0.0,5,5,10,0.46877930645112303,-14.983034337642266,7
17,10,0.01,5,5,5,0.468436290367878,-13.613605294551004,8
14,25,0.01,5,5,10,0.46819678992069175,-16.838225588927305,7
16,15,0.05,5,5,5,0.4680904974442695,-10.33113078806784,8
16,20,0.0,5,5,5,0.46808090600869967,-11.618565873316179,9
3,10,0.0,5,5,5,0.4675966853405911,-10.38309163703951,8
3,20,0.01,5,5,10,0.4674847297771376,-16.638067436205624,9
19,15,0.0,5,5,5,0.4674375139950286,-12.873010047459159,7
17,25,0.01,5,5,5,0.46732113424576355,-11.588842509680132,8
4,20,0.025,5,5,5,0.4672205599867276,-10.968886795512054,7
19,20,0.0,5,5,5,0.46698967636890787,-12.225271052370418,8
20,10,0.01,5,5,5,0.46680921698415406,-11.429997125858195,10
11,25,0.01,5,5,5,0.466775851915093,-11.006956833632353,6
6,25,0.01,5,5,5,0.4667011825741736,-11.487691598573045,6
3,15,0.0,5,5,5,0.4666958581568378,-9.171481080700298,6
17,5,0.025,5,5,5,0.4666163450357593,-11.978460157053014,12
8,10,0.025,5,5,10,0.4664666730989442,-16.572241515461275,6
16,15,0.0,5,5,5,0.4661858696516715,-11.085516623859679,8
13,20,0.05,5,5,5,0.46612047492699743,-12.428213570727781,9
3,15,0.05,5,5,5,0.4654823577066191,-12.988616216532487,8
4,25,0.05,5,5,10,0.46533509560181546,-17.851180775745302,4
3,10,0.01,5,5,5,0.4645960657816792,-10.714933363799743,10
12,15,0.025,5,5,5,0.46425654064762906,-12.95411003425555,8
15,25,0.025,5,5,5,0.46409318140239736,-10.821397287217176,8
20,25,0.01,5,5,5,0.4639182936697457,-12.056699134991865,9
2,5,0.05,5,5,5,0.4634767372585723,-11.42465714048555,10
3,15,0.025,5,5,5,0.46277441782003015,-13.583702999462139,8
17,25,0.025,5,5,5,0.4627742310018476,-12.174792854407826,7
3,25,0.05,5,5,5,0.4626314952451425,-12.298977888433967,8
5,25,0.05,5,5,5,0.4621986230419944,-11.403987997927722,7
10,20,0.01,5,5,5,0.46213492970639825,-12.32134022867603,9
19,20,0.01,5,5,10,0.46182443173984417,-16.05600086939204,6
16,15,0.01,5,5,5,0.4617485647689188,-10.078735165736148,8
2,25,0.01,5,5,5,0.4610951776382973,-8.991605939421115,8
3,20,0.025,5,5,5,0.4602621647887552,-12.727869361285846,8
10,20,0.01,5,5,10,0.4594156430263272,-16.533303326863113,9
7,10,0.01,5,5,5,0.45924975565600934,-10.018007802022131,7
3,15,0.01,5,5,10,0.4589226116747168,-17.40351326728418,6
20,10,0.0,5,5,5,0.4588946103284843,-10.001568319686639,7
16,15,0.025,5,5,5,0.4586754586975449,-10.4014635492657,8
